id,tokens,intent
1324,which flights are leaving atlanta and arriving in st. louis close to 230 pm on tuesday,AskFlight
,departing new york on twa,"AskFlight, AskFlightWithAirline"
605,how much is a us air boston to pittsburgh daily nonstop flight,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1605,i need a flight from indianapolis to houston on twa,"AskFlight, AskFlightWithAirline"
4357,show me the flights from indianapolis to orlando with round trip fares less than 1288,"AskFlight, AskFlightWithCost"
5431,do all the flights to oakland land at the same place,AskFlight
2937,how much does it cost to fly on american from dallas to baltimore,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4687,how much does it cost to fly on delta from dallas to baltimore,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3421,please find flights available from kansas city to newark,AskFlight
4980,what is the least expensive one way ticket from atlanta to denver leaving on october twelfth,"AskFlight, AskFlightWithCost"
4664,show me round trip fares from toronto to detroit on delta northwest us air and united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2933,get saturday fares from washington to boston,"AskFlight, AskFlightWithCost"
1300,can i get a flight today from san francisco to detroit michigan,AskFlight
4693,give me fares from atlanta to baltimore,"AskFlight, AskFlightWithCost"
2094,what flights do you have in the morning of september twentieth on united airlines from pittsburgh to san francisco and a stopover in denver,"AskFlight, AskFlightWithAirline"
642,please list the cheapest flights from dallas to baltimore arriving on may seventh,"AskFlight, AskFlightWithCost"
4377,list flights from boston to pittsburgh daily,AskFlight
867,flights from milwaukee to phoenix on saturday or sunday american airlines,"AskFlight, AskFlightWithAirline"
1857,how much does it cost to fly directly from philadelphia to san francisco on american airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2932,how much does it cost to fly eastern airlines from atlanta to boston,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1898,what is the round trip first class fare on united from boston to san francisco,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3549,give me the list of flights for continental between denver and boston,"AskFlight, AskFlightWithAirline"
2186,show me all lufthansa flights from seattle to boston with stopovers in minneapolis,"AskFlight, AskFlightWithAirline"
,show me the cheapest one from dallas to baltimore on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3050,show me the us air flights from atlanta to boston,"AskFlight, AskFlightWithAirline"
5094,how much does it cost to fly on twa from columbus to milwaukee,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5219,i want to fly from indianapolis to seattle round trip with the cheapest fare,AskFlight
4643,what is the cheapest fare from dallas to denver on delta,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3896,i wish to fly from boston to washington please find an airline for me,"AskFlight, AskFlightWithAirline"
3541,is there a delta flight from boston to denver,"AskFlight, AskFlightWithAirline"
2641,please give me the cheapest round trip airfare from atlanta to philadelphia on august the first,"AskFlight, AskFlightWithCost"
3547,does delta fly from atlanta to san francisco,"AskFlight, AskFlightWithAirline"
2992,show delta airlines from boston to salt lake,"AskFlight, AskFlightWithAirline"
4004,i need to reverse the flight from pittsburgh to denver please,AskFlight
506,i would like a flight from toronto to san diego that stops in kansas city,AskFlight
2672,what's the cheapest flight from dallas to baltimore on december seventeenth,"AskFlight, AskFlightWithCost"
1964,what are the round trip fares for flights from denver to philadelphia arriving after 1700 on continental,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
439,show me all flights from atlanta to dallas round trip less than 1100 dollars,"AskFlight, AskFlightWithCost"
,show me the cheapest one from dallas to baltimore on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4325,show me all united flights from denver to san francisco for september first 1991,"AskFlight, AskFlightWithAirline"
3074,show me all flights on southwest airlines from san diego to san francisco,"AskFlight, AskFlightWithAirline"
2921,what are the fares for flights from la to newark leaving monday morning,"AskFlight, AskFlightWithCost"
2116,what flights are available from denver to philadelphia with stopover in pittsburgh,AskFlight
4700,give me all the flights from miami to chicago on american airlines,"AskFlight, AskFlightWithAirline"
4669,what is the fare going from baltimore to atlanta one way on november seventh,"AskFlight, AskFlightWithCost"
797,what is the most expensive one way fare from boston to atlanta on american airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2267,please give me a flight from boston to atlanta before 10 am in the morning,AskFlight
4978,what is the least expensive airfare between boston and baltimore,"AskFlight, AskFlightWithCost"
3030,show me the flights from san diego to san francisco on southwest airlines,"AskFlight, AskFlightWithAirline"
2636,please give me the cheapest flight from denver to pittsburgh,"AskFlight, AskFlightWithCost"
2569,what are the cheapest round trip flights from denver to pittsburgh,"AskFlight, AskFlightWithCost"
302,all flights and fares from denver to pittsburgh on us air number 1039 on a thursday,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3683,flights on friday from newark to tampa,AskFlight
5092,okay does twa have a flight from dallas to san francisco,"AskFlight, AskFlightWithAirline"
441,round trip fares from denver to philadelphia under 1000 dollars and pittsburgh to philadelphia under 1000 dollars,"AskFlight, AskFlightWithCost"
2682,i'd like to book the cheapest one way flight from pittsburgh to atlanta on july twentieth,"AskFlight, AskFlightWithCost"
1907,which flights from pittsburgh to atlanta have the lowest coach class fares,"AskFlight, AskFlightWithCost"
4677,i'd like a flight on july ninth from orlando to kansas city in the afternoon,AskFlight
2590,i'd like to find the cheapest one way fare from baltimore to denver,"AskFlight, AskFlightWithCost"
1106,i'd like to find the cheapest flight from washington dc to atlanta,"AskFlight, AskFlightWithCost"
5091,how much does it cost to fly from columbus to st. louis round trip on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5094,how much does it cost to fly on twa from columbus to milwaukee,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5319,flights from kansas city to cleveland and price,"AskFlight, AskFlightWithCost"
2676,what's the cheapest flight from baltimore to dallas on american,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3045,flying from pittsburgh to philadelphia on us air,"AskFlight, AskFlightWithAirline"
3368,show all monday flights from san francisco to pittsburgh,AskFlight
7,show me the flights from st. petersburg to toronto that arrive early in the morning,AskFlight
1366,a first class flight on american to san francisco on the coming tuesday,"AskFlight, AskFlightWithAirline"
4983,what is the least expensive way to fly from philadelphia to san francisco,"AskFlight, AskFlightWithCost"
1434,give me information on flights from atlanta to washington dc leaving on thursday before 0900,AskFlight
3247,what are the flights from baltimore to dallas on sunday night,AskFlight
3862,show me the flights from chicago to indianapolis,AskFlight
1358,what flights arrive in chicago on sunday on continental,"AskFlight, AskFlightWithAirline"
5295,what flights are available from denver to dallas fort worth in the afternoons,AskFlight
5461,list U S Air flights from Dallas to Boston .,"AskFlight, AskFlightWithAirline"
778,i would like to find the least expensive flight from boston to denver,"AskFlight, AskFlightWithCost"
5292,list all tuesday night flights from boston to denver,AskFlight
3395,american flights from san francisco please,"AskFlight, AskFlightWithAirline"
4655,what flights leave philadelphia for dallas and depart before noon on american airlines,"AskFlight, AskFlightWithAirline"
3413,delta flights from san francisco please,"AskFlight, AskFlightWithAirline"
2640,what are the cheapest one way flights from atlanta to pittsburgh,"AskFlight, AskFlightWithCost"
5091,how much does it cost to fly from columbus to st. louis round trip on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1634,how much is the 718 am flight from las vegas to new york twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
793,what is the lowest cost for a one way ticket from boston to washington,"AskFlight, AskFlightWithCost"
2178,i would like a flight on continental airlines leaving from boston making a stop in denver and arriving in san francisco,"AskFlight, AskFlightWithAirline"
4422,list all flights on united from san francisco to boston with fare code qx,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3776,i need a flight from memphis to las vegas,AskFlight
5520,what is the cheapest ticket from Memphis to Miami .,"AskFlight, AskFlightWithCost"
,hi twa flights to miami in the evening please,"AskFlight, AskFlightWithAirline"
433,round trip fares from denver to philadelphia under 1000 dollars,"AskFlight, AskFlightWithCost"
1275,now please give me the latest flight tomorrow on twa from milwaukee to tacoma,"AskFlight, AskFlightWithAirline"
978,i am looking to get one air fare from baltimore to san francisco on a 747 leaving august twenty seventh,"AskFlight, AskFlightWithCost"
2645,show me the cheapest fare from baltimore to dallas,"AskFlight, AskFlightWithCost"
605,how much is a us air boston to pittsburgh daily nonstop flight,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4133,what are all flights from boston to denver,AskFlight
2917,please show me fares from denver to san francisco,"AskFlight, AskFlightWithCost"
3509,does northwest fly into denver,"AskFlight, AskFlightWithAirline"
2947,what is the fare from boston to oakland on united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1919,show me the prices of first class tickets on us air round trip from cleveland to miami,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1091,list fares from washington dc to boston,"AskFlight, AskFlightWithCost"
1610,show me all the flights on delta airlines and twa that go to atlanta in the morning,"AskFlight, AskFlightWithAirline"
4595,what flights go from dallas to denver leaving after 3 pm,AskFlight
5284,list american airlines flights from houston to milwaukee departing friday pm,"AskFlight, AskFlightWithAirline"
2918,price of flight from cleveland to nashville,"AskFlight, AskFlightWithCost"
5133,i need the cost of a ticket going from denver to baltimore a first class ticket on united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1634,how much is the 718 am flight from las vegas to new york twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3193,i want an early morning flight from boston to philadelphia,AskFlight
613,list all daily flights between boston and oakland using delta airlines,"AskFlight, AskFlightWithAirline"
3828,show me all flights with fares from pittsburgh to san francisco,"AskFlight, AskFlightWithCost"
612,list all daily flights between boston and oakland and between oakland and boston using delta airlines,"AskFlight, AskFlightWithAirline"
4891,show delta airlines flights from jfk to miami,"AskFlight, AskFlightWithAirline"
1981,what is the round trip thrift fare on us air from boston to san francisco,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3085,a flight on continental airlines leaving boston and going to denver,"AskFlight, AskFlightWithAirline"
2968,list the fares of us air flights from boston to philadelphia,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4911,list departure times from denver to philadelphia which are later than 10 o'clock and earlier than 2 pm,AskFlight
,show me the cheapest one from dallas to baltimore on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4860,i would like the cheapest flight from pittsburgh to atlanta leaving april twenty fifth and returning may sixth,"AskFlight, AskFlightWithCost"
4766,show me all the united flights from boston to denver,"AskFlight, AskFlightWithAirline"
785,the most expensive flight between boston and philadelphia,"AskFlight, AskFlightWithCost"
5018,i would like to know the flights available from boston to denver arriving in denver by 8 o'clock wednesday morning,AskFlight
5097,show me all nonstop flights between denver and oakland leaving after noon and arriving after 5 pm,AskFlight
3974,please list the flights from philadelphia to toronto,AskFlight
5156,does continental fly from boston to san francisco with a stop in denver,"AskFlight, AskFlightWithAirline"
5130,show business class fares on us air from boston to toronto,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4285,what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two,"AskFlight, AskFlightWithAirline"
4494,please give me the flights from san francisco to washington dc,AskFlight
2779,show me round trip flights from burbank to tacoma,AskFlight
4707,what flights go from chicago to seattle on saturday on continental airlines,"AskFlight, AskFlightWithAirline"
1870,an american airlines flight first class from philadelphia to dallas,"AskFlight, AskFlightWithAirline"
3580,i need information flight information for tuesday on a flight leaving baltimore bound for dallas,AskFlight
2754,please show me the round trip flights from st. petersburg to toronto,AskFlight
4515,from las vegas to new york a nonstop twa and fare,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5138,show me the cheapest round trip coach fare from las vegas to detroit,"AskFlight, AskFlightWithCost"
2434,i'd like an early morning weekday flight from san diego to phoenix,AskFlight
1991,how much is coach flight from pittsburgh to atlanta,"AskFlight, AskFlightWithCost"
5091,how much does it cost to fly from columbus to st. louis round trip on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3621,i need a flight from denver to salt lake city on monday,AskFlight
2676,what's the cheapest flight from baltimore to dallas on american,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2638,show me the flight from detroit to westchester county with the highest one way fare,"AskFlight, AskFlightWithCost"
2668,show me the cheapest one way flights from montreal to orlando,"AskFlight, AskFlightWithCost"
2752,show me round trip flights from burbank to seattle,AskFlight
5261,what is the fare for flights from denver to atlanta,"AskFlight, AskFlightWithCost"
1075,list fares from washington dc to montreal,"AskFlight, AskFlightWithCost"
5130,show business class fares on us air from boston to toronto,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
221,are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning,AskFlight
5398,flight will start from boston,AskFlight
3106,hi i'd like a flight on alaska airlines from san diego to toronto please,"AskFlight, AskFlightWithAirline"
3078,is there a flight on eastern airlines from boston to denver,"AskFlight, AskFlightWithAirline"
3750,i need flights departing from oakland and arriving salt lake city,AskFlight
3742,list flights from chicago to san diego,AskFlight
1682,what airline is the flight originating in atlanta on november seventh at noon and arriving in san francisco at 210 pm,"AskFlight, AskFlightWithAirline"
2758,what is the fare on november seventh going one way from san francisco to oakland,"AskFlight, AskFlightWithCost"
312,give me the flights and fares on december twenty seventh from orlando to indianapolis,"AskFlight, AskFlightWithCost"
,show me the cheapest one from dallas to baltimore on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
302,all flights and fares from denver to pittsburgh on us air number 1039 on a thursday,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
616,flights from westchester county to san francisco daily,AskFlight
3373,show any flights leaving san francisco on sunday and arriving in pittsburgh,AskFlight
4452,what is the price of american airlines flight 19 from new york to los angeles,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2947,what is the fare from boston to oakland on united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4489,give me the fares for round trip flights from cleveland to miami next wednesday,"AskFlight, AskFlightWithCost"
4504,what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5036,list type of aircraft for all flights from charlotte,AskFlight
4883,what are the first class and coach fares for flights from chicago to kansas city arriving around 7 pm next thursday,"AskFlight, AskFlightWithCost"
3377,show me all flights from san francisco to denver,AskFlight
2776,what is the price of a one way fare from boston to denver on continental airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2924,what is the airfare for flights from denver to pittsburgh on delta airline,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4504,what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1191,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco with a dallas stopover,"AskFlight, AskFlightWithAirline"
947,what flights are there from atlanta to oakland on thursday with in flight meals,AskFlight
3016,i would like to fly from baltimore to san francisco on eastern airlines,"AskFlight, AskFlightWithAirline"
1872,show business class fares from san francisco to denver on united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1898,what is the round trip first class fare on united from boston to san francisco,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4086,show me the flights from dallas to atlanta,AskFlight
3560,list all united flights from philadelphia to san francisco,"AskFlight, AskFlightWithAirline"
4453,what is the first class fare on united flight 352 from denver to boston,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4473,i'd like to fly from columbus to nashville tomorrow morning,AskFlight
2194,i want to go from denver to atlanta round trip and make a stop at pittsburgh may i have the cheapest fare,"AskFlight, AskFlightWithCost"
4221,all right do you have a flight from atlanta to boston,AskFlight
4643,what is the cheapest fare from dallas to denver on delta,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
976,do you have a flight from atlanta to baltimore nonstop on a boeing 757 arriving baltimore around 7 pm,AskFlight
1088,i would like to book on delta airlines their earliest possible flight from washington dc to san francisco,"AskFlight, AskFlightWithAirline"
4955,list daily flights of united airline from denver to baltimore with first class service,"AskFlight, AskFlightWithAirline"
1412,show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,AskFlight
4113,show me the flights from dallas to baltimore,AskFlight
2854,show me the flights available from dallas to baltimore august third,AskFlight
2591,give me the lowest fare from atlanta to denver on may seventh please,"AskFlight, AskFlightWithCost"
2316,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,AskFlight
2135,what northwest flights stop in denver,"AskFlight, AskFlightWithAirline"
5498,for American airlines i need round trip airfare from New York to San Diego .,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2948,fares and flights from pittsburgh to philadelphia,"AskFlight, AskFlightWithCost"
3537,list all united flights from boston to san francisco,"AskFlight, AskFlightWithAirline"
3025,list american airlines flights from milwaukee to san jose wednesday,"AskFlight, AskFlightWithAirline"
718,show me times for flights from san francisco to atlanta,AskFlight
3919,show me all the flights between philadelphia and denver,AskFlight
3565,please find a flight on delta from philadelphia to san francisco and give me the flight numbers,"AskFlight, AskFlightWithAirline"
4424,list all flights from chicago to seattle on continental which depart on saturday and serve meals,"AskFlight, AskFlightWithAirline"
4413,saturday or sunday flights between milwaukee and phoenix american airlines,"AskFlight, AskFlightWithAirline"
2677,show me the cheapest one way tickets from atlanta to dallas,"AskFlight, AskFlightWithCost"
3927,i would like a flight from dallas to philadelphia,AskFlight
2124,show me all the flights on northwest airlines from new york to milwaukee to los angeles,"AskFlight, AskFlightWithAirline"
5309,i am interested in a flight from cincinnati to burbank the flight should be american and leave in the afternoon i need to know the aircraft and flight number,"AskFlight, AskFlightWithAirline"
4687,how much does it cost to fly on delta from dallas to baltimore,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2651,what is the cheapest fare from denver to pittsburgh,"AskFlight, AskFlightWithCost"
3518,american flights to houston from cincinnati,"AskFlight, AskFlightWithAirline"
1211,all right would you let me know type of aircraft united airlines is using on the flights from denver to san francisco i would like to know the type of aircraft that they use on these flights before 10 in the morning,"AskFlight, AskFlightWithAirline"
5133,i need the cost of a ticket going from denver to baltimore a first class ticket on united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
30,i need a list of late afternoon flights from st. louis to chicago,AskFlight
4549,show me first class round trip flights from new york to miami i want the cheapest first class fare please,"AskFlight, AskFlightWithCost"
3481,list flights from san jose to dallas on friday,AskFlight
482,can you show me the available flights from baltimore to dallas with economy fares,"AskFlight, AskFlightWithCost"
2748,can you show me what fares are available from oakland to dallas on december sixteenth one way only,"AskFlight, AskFlightWithCost"
3850,i would like a flight from detroit to st. louis,AskFlight
424,show me all flights from new york to miami on a tuesday with round trip fares under 932 dollars,"AskFlight, AskFlightWithCost"
2624,what's the lowest round trip fare from dallas to any city,"AskFlight, AskFlightWithCost"
4517,list round trip flights between boston and oakland using twa,"AskFlight, AskFlightWithAirline"
5259,list the fares of the delta airlines flights from boston to philadelphia,"AskFlight, AskFlightWithCost"
414,please give me the prices for all flights from philadelphia to denver airport next sunday,"AskFlight, AskFlightWithCost"
629,list daily flights from denver to baltimore with first class service,AskFlight
2932,how much does it cost to fly eastern airlines from atlanta to boston,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1652,what is the price of business class from boston to san francisco on twa,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2669,show me the cheapest one way flight from atlanta to pittsburgh,"AskFlight, AskFlightWithCost"
3217,i'd like information on a flight from atlanta to denver a morning flight,AskFlight
2963,show me the fares for delta flights from dallas to san francisco,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2664,what is the cheapest flight from san francisco to pittsburgh on sunday,"AskFlight, AskFlightWithCost"
1645,what's the cheapest round trip flight on twa from columbus to st. paul,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2676,what's the cheapest flight from baltimore to dallas on american,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3087,give me the american airlines flights from phoenix to milwaukee on wednesday,"AskFlight, AskFlightWithAirline"
5382,flights from baltimore to philadelphia please,AskFlight
2593,what is the cheapest flight on american airlines from cleveland to miami,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3893,show me the flights from boston to baltimore,AskFlight
1567,what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh,AskFlight
701,i would like the time of all flights from san francisco to pittsburgh on sunday,AskFlight
2865,does us air fly from cincinnati to denver on june sixth,"AskFlight, AskFlightWithAirline"
2290,i would like a flight from washington to boston on august twentieth at 324 pm,AskFlight
4675,i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,AskFlight
2662,what is the cheapest one way fare from atlanta to boston,"AskFlight, AskFlightWithCost"
605,how much is a us air boston to pittsburgh daily nonstop flight,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1857,how much does it cost to fly directly from philadelphia to san francisco on american airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
3318,i would like an afternoon flight leaving tuesday san diego to indianapolis,AskFlight
4416,list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,AskFlight
1295,show me all flights from atlanta to san francisco which leave atlanta after 5 o'clock pm tomorrow,AskFlight
2990,list a flight on delta airlines from toronto to san diego,"AskFlight, AskFlightWithAirline"
4122,flights from newark to boston,AskFlight
2163,i would like information on a flight between washington and san francisco with a stopover in dallas,AskFlight
3530,hello i'd like a delta flight from atlanta to boston,"AskFlight, AskFlightWithAirline"
2969,what is the cost of flights from denver to san francisco,"AskFlight, AskFlightWithCost"
5450,i would like to leave on thursday morning may fifth before six a.m .,AskFlight
3035,show flights from pittsburgh to oakland on us airlines with fare information,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1857,how much does it cost to fly directly from philadelphia to san francisco on american airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5422,show me the flights from boston to oakland,AskFlight
2778,list all round trip fares from phoenix to washington,"AskFlight, AskFlightWithCost"
4649,i'd like the lowest fare from denver to pittsburgh,"AskFlight, AskFlightWithCost"
3784,i need information on flights from toronto to san diego,AskFlight
2579,what are the lowest one way fares from pittsburgh to atlanta,"AskFlight, AskFlightWithCost"
1538,cheapest fare round trip from indianapolis to orlando on december twenty seventh,"AskFlight, AskFlightWithCost"
92,coach fares only weekdays for denver to boston,"AskFlight, AskFlightWithCost"
3783,please list flights from philadelphia to san francisco,AskFlight
2944,how much does it cost to fly from atlanta to san francisco,"AskFlight, AskFlightWithCost"
3890,show me cheap flights from baltimore to dallas,"AskFlight, AskFlightWithCost"
1560,give me the cheapest round trip flights from indianapolis to orlando around december twenty fifth,"AskFlight, AskFlightWithCost"
2966,how much does it cost to fly from boston to baltimore on a saturday,"AskFlight, AskFlightWithCost"
3061,is there a thursday night flight from pittsburgh to san francisco on us air,"AskFlight, AskFlightWithAirline"
1529,what flight do you have from dallas to denver on august twenty seventh in the morning,AskFlight
2633,what are the cheapest one way flights from atlanta to denver,"AskFlight, AskFlightWithCost"
4709,please list the flights from cincinnati to burbank on american airlines,"AskFlight, AskFlightWithAirline"
2593,what is the cheapest flight on american airlines from cleveland to miami,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1981,what is the round trip thrift fare on us air from boston to san francisco,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4890,show me all the flights between dallas fort worth and either san francisco or oakland that depart between 5 and 7 pm,AskFlight
4664,show me round trip fares from toronto to detroit on delta northwest us air and united airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
1988,all round trip flights between new york and miami coach fare,"AskFlight, AskFlightWithCost"
4667,what is the fare going from baltimore to boston one way on november seventh,"AskFlight, AskFlightWithCost"
1633,please list the twa flights from las vegas to new york and fare,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
4735,am flights from atlanta to philadelphia,AskFlight
4504,what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5404,list the flights from indianapolis to houston,AskFlight
2968,list the fares of us air flights from boston to philadelphia,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
2654,can you list the cheapest round trip fare from orlando to kansas city,"AskFlight, AskFlightWithCost"
4900,what are the fares for flights between atlanta and dfw provided by american airlines,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
605,how much is a us air boston to pittsburgh daily nonstop flight,"AskFlight, AskFlightWithCost, AskFlightWithAirline"
5185,i'd like a flight on united airlines from dallas to san francisco that leaves after 815 am,"AskFlight, AskFlightWithAirline"
