id,tokens,intent
4289,what flights between dfw and oakland arrive in oakland between 1133 am and 43 pm,Flight
552,i would like to book a flight for may twenty sixth going from tampa to milwaukee a direct flight if possible,Flight
5426,flights from boston to pittsburgh,Flight
4085,show me boston to oakland flights,Flight
1775,show me airlines with flights from pittsburgh to boston please,NoFlight
132,show me the flights that go from san diego to newark new jersey,Flight
174,rental car in baltimore,NoFlight
5283,what flights leave phoenix on american airlines,Flight
144,which airlines fly from bwi to dallas fort worth,NoFlight
4238,list all flights from cleveland to nashville,Flight
4321,what is the cost of limousine service in philadelphia,NoFlight
369,what airport is at tampa,NoFlight
1327,list all nonstop flights on wednesday from baltimore to newark before noon,Flight
2791,show me the one way flights from detroit to westchester county,Flight
4341,where does delta fly to that american doesn't,NoFlight
3682,list flights from memphis to miami on wednesday,Flight
1381,what are the morning flights in the next two days from nashville to tacoma,Flight
4683,on april first i need a flight going from phoenix to san diego,Flight
2655,what's the cheapest flight from pittsburgh to san francisco on friday,Flight
5371,what flights are there from memphis to las vegas,Flight
4791,what are all the flights available between pittsburgh and dallas fort worth,Flight
2207,how do i get to philadelphia downtown from the airport,NoFlight
1782,what airlines go to pittsburgh,NoFlight
304,i need a round trip flight from san diego to washington dc and the fares,Flight
1056,i'd like to find a us air flight from orlando to cleveland that arrives around 10 o'clock in the evening,Flight
4943,do you have a flight from boston to san francisco with a stopover in fort worth dallas,Flight
5012,find me the earliest flight from boston to denver that serves breakfast,Flight
3898,show me the flights from baltimore to atlanta,Flight
316,what does ord mean,NoFlight
1153,can you please tell me the type of aircraft used flying from atlanta to denver on eastern flight 825 leaving at 555,NoFlight
5361,find flight from detroit to san diego on tuesday,Flight
5252,are there any flights on june eleventh from st. petersburg to milwaukee,Flight
4763,find a flight on delta from philadelphia to san francisco,Flight
854,show me ground transportation in san francisco,NoFlight
3389,is there a flight leaving san francisco to denver,Flight
3251,what flights are there tuesday morning from dallas to atlanta,Flight
5348,show the flights from pittsburgh to san francisco again on monday,Flight
665,how many flights go from dallas to baltimore on july nineteenth,Flight
2590,i'd like to find the cheapest one way fare from baltimore to denver,Flight
4040,i need information for a flight from denver to atlanta,Flight
5216,show me the cheapest flights from san francisco to boston,Flight
5406,show me the flights from toronto to cincinnati,Flight
670,how many flights come from denver to baltimore on july nineteenth,Flight
3570,list the flights from pittsburgh to san francisco on thursday,Flight
750,what are the flights on sunday from montreal quebec to san diego california,Flight
2479,what is the earliest flight that goes from atlanta to washington on thursday,Flight
2991,give me american airlines flights from milwaukee to phoenix on saturday and on sunday,Flight
362,list airports in new york,NoFlight
5326,give me the flights from new york city to las vegas on sunday and the flights from memphis to las vegas on sunday,Flight
1294,show me all flights from pittsburgh to atlanta which leave after 5 o'clock pm tomorrow,Flight
1663,i would like a flight from oakland to philadelphia at one in the afternoon arriving at 5 pm,Flight
2025,show me ground transportation for dallas,NoFlight
2647,what is the cheapest fare from boston to san francisco,Flight
1675,find a nonstop flight between boston and washington arriving in washington around 5 pm,Flight
3825,show me the flights from boston to san francisco,Flight
79,show me all meals on flights from atlanta to washington,Flight
2118,i'd like to go from boston to san francisco stopping in pittsburgh,Flight
396,show me all flights from san francisco to la guardia nonstop,Flight
3990,flights from indianapolis to seattle,Flight
1433,i need a flight from san diego to washington dc,Flight
779,what is the least expensive fare from baltimore to san francisco leaving on september thirtieth,Flight
3462,flights from st. paul to houston,Flight
3026,i would like an american airlines flight from cincinnati to burbank leaving this afternoon,Flight
81,find me the latest return flight from atlanta to boston on the same day,Flight
5016,can you list all nonstop flights between st. petersburg and charlotte that leave in the afternoon and arrive soon after 5 pm,Flight
4620,what is the shortest flight from milwaukee to st. petersburg,Flight
3446,i want to book a flight from salt lake city to westchester county,Flight
1192,what type of aircraft is used on the flight from atlanta to philadelphia before 12 o'clock noon,NoFlight
4267,show me all flights from atlanta to washington with prices,Flight
2026,show ground transportation in denver,NoFlight
1245,show me the first class and coach flights from kennedy airport to miami,Flight
4390,i would like the time of your earliest flight in the morning from philadelphia to washington on american airlines,Flight
4384,how many airlines fly from new york to los angeles by way of milwaukee,NoFlight
5007,what type of airplane is an m80,NoFlight
240,what are the fares for ground transportation in denver,NoFlight
551,please show me any united flights including connections between boston and san francisco at 5 in the evening,Flight
4788,list all flights from nashville to cleveland on sunday,Flight
2680,i'd like also to book a one way flight from pittsburgh to atlanta the cheapest one on july twentieth,Flight
4123,show me all the flights from columbus to baltimore,Flight
5164,i would like a flight from philadelphia to dallas that makes a stop in atlanta,Flight
3917,i'm flying from boston to dallas,Flight
4506,i would like to fly from dallas to denver on the morning of august twenty seventh leaving at 650,Flight
4269,show me flights from baltimore to philadelphia please,Flight
1907,which flights from pittsburgh to atlanta have the lowest coach class fares,Flight
2395,what is the last flight from san francisco to dallas fort worth,Flight
5486,the flight going to San Diego from Toronto should stop in Denver .,Flight
2813,i would like to book a flight from los angeles to pittsburgh on june first,Flight
2989,okay what flights are there us air from orlando to cleveland leaving in the afternoon,Flight
2996,all flights from charlotte to anywhere on us air,Flight
2446,what is the latest flight from san francisco to washington,Flight
1248,how do you travel from san francisco airport to downtown san francisco,NoFlight
1519,i would like to book a flight for august twenty seventh from baltimore to san francisco on us air,Flight
956,please list the flights from st. paul to kansas city on friday night that serve meals,Flight
1155,eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight,NoFlight
2243,show me all flights from boston to pittsburgh on wednesday after 6 o'clock pm,Flight
1470,show me flights from pittsburgh to dc,Flight
4514,code ff,NoFlight
1468,list all round trip fares from pittsburgh to washington dc,Flight
352,how far is downtown from the airport in dallas,NoFlight
4412,now show me all the flights from st. louis to burbank,Flight
3500,show me all nationair flights from toronto,Flight
1748,list airlines flying from seattle to salt lake city,NoFlight
5115,which airline provides business class flights,NoFlight
1601,what does us mean,NoFlight
796,what is the least expensive one way fare from boston to san francisco,Flight
2224,what flights from st. louis to st. paul on thursday leaving after 10 am,Flight
2987,what are the classes of service for continental airlines,NoFlight
3693,i need a sunday flight from tampa to charlotte,Flight
2581,cheapest fare from nashville to seattle,Flight
2388,what is the last flight of the day to leave baltimore for boston,Flight
1911,what is the first class fare from indianapolis to orlando,Flight
1385,i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,Flight
1096,can i get a flight on tuesday night from washington dc to oakland,Flight
2616,show me the cheapest flights from san francisco to philadelphia,Flight
2666,cheapest flight from memphis to miami,Flight
2894,i'd like to go from detroit to san diego on wednesday evening june second,Flight
206,what is the cheapest flight from boston to bwi,Flight
3138,what flights are available sunday afternoon from oakland to dallas,Flight
5095,what are the flights from orlando to cleveland on us air that arrive around 10 pm,Flight
2817,what are the flights between dallas and pittsburgh on july eight,Flight
127,what are the flights from st. louis to charlotte north carolina leaving on friday,Flight
4533,what airlines have flights from baltimore to seattle,NoFlight
3940,show me all flights from toronto,Flight
287,show me all flights between san francisco and philadelphia on september fifteenth with departure time after 12 pm,Flight
4978,what is the least expensive airfare between boston and baltimore,Flight
5027,what is the type of aircraft for united flight 21,NoFlight
273,please give me flight schedules from baltimore to philadelphia,Flight
1810,show me the airlines between boston and denver,NoFlight
2829,show me the flights on american airlines from fort worth to denver on the evening of july eleventh,Flight
3831,i would like to fly from atlanta to san diego,Flight
221,are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning,Flight
142,flights from jfk or la guardia to cleveland,Flight
3113,is there a flight on continental airlines from boston to denver,Flight
3924,may i see all the flights from cleveland to dallas,Flight
3168,list flights from atlanta to boston on wednesday afternoon,Flight
208,what are the fares for flights between atlanta and dfw,Flight
2778,list all round trip fares from phoenix to washington,Flight
2664,what is the cheapest flight from san francisco to pittsburgh on sunday,Flight
3881,show me the flights from baltimore to dallas,Flight
672,please tell me how many nonstop flights there are from boston to atlanta,Flight
1168,can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city,NoFlight
354,what is the distance from toronto international airport to toronto,NoFlight
2206,is there ground transportation from the airport in denver to downtown,NoFlight
4091,please list flights between denver and boston,Flight
4172,show me all flights arriving to denver from baltimore oakland and boston,Flight
3894,show me the flights from philadelphia to boston,Flight
1842,show me round trips from houston to las vegas nonstop,Flight
1974,tell me about flights from st. petersburg arriving in toronto before noon,Flight
2672,what's the cheapest flight from dallas to baltimore on december seventeenth,Flight
592,on august thirtieth please schedule me on a flight from denver to san francisco early in the morning,Flight
1458,show me the flights between pittsburgh and washington dc,Flight
2212,information on ground transportation from airport to downtown boston,NoFlight
3895,do you have a flight from atlanta to boston,Flight
1256,list all flights departing from general mitchell,Flight
2930,can you show me the price of a flight to washington from atlanta on thursday morning,Flight
806,show me the lowest price from dallas to baltimore,Flight
4265,i would like a flight from boston to atlanta,Flight
1493,may i have a listing of flights from minneapolis to long beach california on wednesday,Flight
4113,show me the flights from dallas to baltimore,Flight
594,i need information on flights leaving dallas arriving in boston leaving dallas early in the morning,Flight
3009,what is united airlines service between boston and san francisco,Flight
3397,get flights between st. petersburg and charlotte,Flight
4957,how many daily us air flights are there between philadelphia and pittsburgh,NoFlight
3432,show me the flights from san francisco to pittsburgh on tuesday,Flight
1957,show me all prices of first class from baltimore to dallas,Flight
1598,does dl stand for delta,NoFlight
2475,also show me the first flight from atlanta to denver on a thursday,Flight
5030,how much does flight dl 402 from denver to philadelphia cost,Flight
407,please list the cost of all flights from philadelphia to denver airport next sunday,Flight
1317,is there a flight from nashville to houston in the evening tomorrow,Flight
5422,show me the flights from boston to oakland,Flight
209,could you give me the schedule of flights for american and delta to dfw on august fifteenth,Flight
3070,show me all the united airlines flights leaving dallas,Flight
2337,atlanta to st. louis tuesday before 230 pm flights,Flight
5020,what are the flights from washington dc to denver,Flight
4366,do you have an early morning direct flight from philadelphia to pittsburgh,Flight
1990,i wish to book a flight from pittsburgh to atlanta coach discount fare,Flight
1093,i want to travel from washington dc to philadelphia on tuesday morning,Flight
3423,show me all flights from san francisco that go to boston baltimore or philadelphia,Flight
1861,okay what i'd like to do on this one is go from washington to atlanta i want a nonstop and i'd like to leave around 5 pm,Flight
3959,what flights do you have available from denver dallas and pittsburgh into baltimore,Flight
2007,i need ground transportation in seattle,NoFlight
4528,show me all flights direct and connecting from boston to pittsburgh that arrive in pittsburgh before 10 am,Flight
969,list flights from seattle to salt lake city on delta be1,Flight
2034,dallas ground transportation,NoFlight
1284,what are the flights from boston to baltimore leaving tomorrow,Flight
543,show me the itinerary for the connecting flight from dallas fort worth to san francisco that departs dallas fort worth at 1940,Flight
2196,what flights go from philadelphia to dallas via atlanta,Flight
2503,show me the earliest flight on thursday from atlanta to washington,Flight
1331,list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas,Flight
2815,i would like your rates between atlanta and boston on september third,Flight
3734,now i'd like information on flights from denver to san francisco,Flight
4969,i would like a schedule of flights from denver to san francisco on tuesday,Flight
2696,what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington,Flight
3669,find a flight from boston to washington on monday,Flight
4414,show me all flights from denver or philadelphia or pittsburgh to baltimore,Flight
4416,list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,Flight
34,show me evening flights to baltimore,Flight
2383,show me the latest flight from denver to boston,Flight
1889,i need 2 first class tickets from dallas fort worth to san francisco,Flight
4526,what nonstop flights between boston and washington arrive after 5 o'clock pm,Flight
2387,show first flight from pittsburgh to atlanta on wednesday,Flight
1588,what does ua mean,NoFlight
1379,give me the flights from kansas city to chicago leaving next wednesday arriving at chicago at about 7 pm,Flight
3036,does continental airlines fly from denver to san francisco,Flight
475,all flights from pittsburgh to dallas round trip after 12 pm less than 100,Flight
2300,do you have a flight from san francisco to atlanta around 8 am,Flight
4675,i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,Flight
4345,list all the flights that arrive at general mitchell international,Flight
4997,what is booking class c,NoFlight
4275,i want a flight from nashville to seattle that arrives no later than 3 pm,Flight
2763,okay i've got somebody else who wants to take a round trip ticket from charlotte to montreal,Flight
3795,what are the flights from denver to san francisco,Flight
3030,show me the flights from san diego to san francisco on southwest airlines,Flight
184,what is the cost of the air taxi operation at philadelphia international airport,NoFlight
696,how many flights does each airline have with business class service,NoFlight
3075,what flights from houston to milwaukee on friday in the evening on american airlines,Flight
3179,please list all flights leaving on thursday morning from new york city to toronto,Flight
3662,friday's flights between newark and tampa,Flight
2901,i'd like flight information between boston and washington september third,Flight
1208,what type of aircraft leaving after 2 pm from boston to oakland,NoFlight
2559,what is the cheapest flight from boston to san francisco,Flight
2255,from milwaukee to orlando one way after 5 pm wednesday,Flight
237,are there any american airlines flights flying into pittsburgh between 12 and 4 in the afternoon,Flight
2839,are there any flights from milwaukee to tacoma on friday june eleventh,Flight
2684,what northwest flights leave denver before noon,Flight
3847,show me flights between toronto and san diego,Flight
3957,show me all flights from baltimore to philadelphia,Flight
2073,ground transportation in oakland,NoFlight
4466,what ground transportation is available from the denver airport to downtown denver,NoFlight
4415,what are the flights from cleveland to indianapolis on wednesday may twelfth on either twa delta or continental,Flight
2755,i would like a flight traveling one way from phoenix to san diego on april first,Flight
5075,show me the flights from philadelphia to atlanta georgia,Flight
3701,what flights from dallas to houston on sunday,Flight
3539,show me the delta flights from tampa to san francisco,Flight
2117,i need to find a flight from philadelphia to san francisco that has a stopover in dallas,Flight
5460,list these city destinations .,Flight
4426,give me the saturday morning flights with meals from chicago to minneapolis,Flight
775,what is the least expensive one way fare between philadelphia and boston,Flight
755,list all flights from tampa florida to miami that are the cheapest one way,Flight
4757,from las vegas to montreal,Flight
2116,what flights are available from denver to philadelphia with stopover in pittsburgh,Flight
4028,get flights from detroit to toronto,Flight
5374,i'd like to fly from boston to fort worth,Flight
3807,from seattle to salt lake city,Flight
3632,give me a flight from philadelphia to denver on sunday,Flight
3743,show me flights from tampa to st. louis,Flight
2698,dallas to san francisco leaving after 4 in the afternoon please,Flight
4847,give me flights from denver to baltimore,Flight
1320,list all nonstop flights on tuesday before noon from charlotte to baltimore,Flight
4549,show me first class round trip flights from new york to miami i want the cheapest first class fare please,Flight
4976,please list the flights from ontario california to orlando florida,Flight
1229,is there ground transportation from the atlanta airport to downtown atlanta,NoFlight
4863,what does d s stand for for meals,NoFlight
263,what flights are available from pittsburgh to baltimore on july twenty fifth 1991,Flight
3902,list list flights between oakland and denver,Flight
1987,what are the coach fares for flights from charlotte to newark tuesday afternoon,Flight
1305,what flights from burbank to milwaukee leave burbank tomorrow,Flight
4240,what flights are there from dallas to houston,Flight
2185,list the flights from baltimore to seattle that stop in minneapolis,Flight
3530,hello i'd like a delta flight from atlanta to boston,Flight
1179,list types of aircraft that connect boston and san francisco,NoFlight
2052,please give me ground transportation information for denver,NoFlight
434,list the morning flights at a 124 dollars from atlanta to boston,Flight
1062,philadelphia to dallas arriving before 1 in the afternoon,Flight
1076,list flights from washington dc to pittsburgh leaving after 1800,Flight
5051,i would like to leave this afternoon on an american flight from cincinnati to burbank,Flight
978,i am looking to get one air fare from baltimore to san francisco on a 747 leaving august twenty seventh,Flight
2689,what flights does delta have from denver to dallas after 5,Flight
1752,which airlines serve pittsburgh,NoFlight
4585,show me the flights from san diego to newark by way of houston,Flight
1202,determine the type of aircraft used on a flight from cleveland to dallas that leaves before noon,NoFlight
860,what is the ground transportation available in the city of fort worth,NoFlight
1083,i would like to fly united airlines from washington dc to denver colorado,Flight
1123,what is the schedule of ground transportation from the airport in philadelphia into downtown,NoFlight
2480,what's the last flight leaving from pittsburgh to oakland,Flight
4855,give me a flight from baltimore to newark that arrives as early as possible,Flight
2577,could you find me the cheapest fare from boston to san francisco,Flight
1366,a first class flight on american to san francisco on the coming tuesday,Flight
1936,what's the first class fare round trip from atlanta to denver,Flight
1567,what flight do you have from san francisco to pittsburgh on the evening of august twenty seventh,Flight
1170,flight 417 from cincinnati to dallas,Flight
832,what ground transportation is available between phoenix airport and downtown phoenix,NoFlight
2417,what is the earliest flight in the morning to arrive in baltimore from boston,Flight
1461,show me the flights between atlanta and washington dc for wednesdays,Flight
3473,saturday flights from las vegas to montreal,Flight
1643,what does flight code us mean,NoFlight
348,how long does it take to get from denver to oakland,Flight
1236,how do i get downtown from the toronto airport,NoFlight
5008,do you fly a 747 from baltimore to san francisco,NoFlight
4593,what is the available ground transportation between san francisco and downtown,NoFlight
4806,show me the flights from detroit to las vegas,Flight
1928,i need a first class ticket on united airlines from denver to baltimore scheduled for december seventeenth,Flight
539,show me all the direct flights from baltimore to atlanta,Flight
1817,list all flights from boston to san francisco with more than 3 stops,Flight
5297,i would like to fly from boston to baltimore in the afternoon what flights are there,Flight
5060,i need to go from boston to atlanta in the same day find me the earliest flight from boston,Flight
1440,flights from atlanta to washington dc on thursday morning,Flight
977,what type of plane is an m80,NoFlight
3556,give me the continental flights from seattle,Flight
66,display flights from dallas to atlanta which depart between 2 pm and 6 pm,Flight
896,what's the difference between fare code q and fare code b,NoFlight
893,i would like the flights available from boston to denver arriving in denver on 9 o'clock wednesday morning on or by 9 o'clock wednesday morning,Flight
1859,is there a nonstop flight from denver to san francisco,Flight
652,okay i'd like a nonstop flight from houston to memphis that arrives in memphis in the early afternoon on tuesday june first,Flight
3040,i'm interested in a flight on american airlines from dallas to washington,Flight
807,i would like the least expensive airfare flight on sunday to pittsburgh from san francisco,Flight
3097,list all flights from boston to san francisco on united airlines,Flight
4090,what are the flights from milwaukee to tampa,Flight
3203,please list pm flights from boston pittsburgh,Flight
2098,i want a flight from long beach to st. louis that stops in dallas,Flight
4255,what are the flights from pittsburgh to baltimore,Flight
1777,show me the names of airlines in atlanta,NoFlight
3694,i need information on flights from washington to boston that leave on a saturday,Flight
4027,show me all the flights from burbank to denver,Flight
2430,what is the earliest flight leaving boston on july first to dallas on july first,Flight
2953,get fares from washington to montreal,Flight
971,tell me about the m80 aircraft,NoFlight
868,i'd like a one way ticket from milwaukee to orlando either wednesday evening or thursday morning,Flight
3606,show me all flights from pittsburgh to baltimore on thursday,Flight
5064,show me next wednesday's flights between phoenix and milwaukee,Flight
4314,list all of the daily flights arriving in denver from 8 to 9 pm,Flight
5211,what is the cheapest fare for a one way flight from boston to atlanta,Flight
938,i would like to know the latest flight on wednesday you have leaving from oakland to salt lake city which offers a meal,Flight
2208,i need information on ground transportation between airport and downtown in the city of boston,NoFlight
4081,i want a flight from boston to atlanta,Flight
4972,i will need a car at new york,NoFlight
180,can i get a rental car in dallas,NoFlight
3002,please list all flights on united airlines and northwest airlines that go into denver and all flights on northwest airlines and united airlines that fly out of denver,Flight
2842,flights from atlanta to san francisco august second,Flight
5399,i live in denver and i'd like to make a trip to pittsburgh,Flight
2771,okay could you get me a round trip ticket from indianapolis to kansas city,Flight
3655,i need a friday flight from newark to tampa,Flight
269,show me the cheapest round trip fare from san francisco to houston on february twenty eighth 1994,Flight
898,what does m mean,NoFlight
430,round trip fare from baltimore to philadelphia less than 1000 dollars,Flight
3594,charlotte to baltimore on tuesday,Flight
3459,flights from new york city to montreal,Flight
1545,show me the available flights from san francisco to boston on november twenty fourth,Flight
4473,i'd like to fly from columbus to nashville tomorrow morning,Flight
5419,i need a flight that goes from boston to orlando,Flight
3357,could i have flight information on flights from salt lake city to phoenix please,Flight
3617,show me flights from denver to philadelphia on a monday,Flight
3920,i'm planning a trip to pittsburgh and i live in denver can you help me,Flight
2841,do you have a flight from salt lake city to st. petersburg on june second,Flight
1693,i would like a flight from nashville to st. louis that arrives in st. louis around 6 pm and is nonstop,Flight
1627,what flights are available on dl from dallas to atlanta on monday morning,Flight
1890,how much does it cost to fly one way from boston to washington first class,Flight
754,i'd like to find a flight from miami florida to las vegas nevada that would arrive before 4 pm on sunday,Flight
4509,what is the cheapest one way fare from san francisco to boston on wednesday august twenty first,Flight
2673,show me the cheapest round trip fare from baltimore to dallas,Flight
1971,i need a flight from new york to montreal thursday may six arriving before noon,Flight
3651,i need flight information on saturday for a flight from philadelphia to dallas,Flight
3061,is there a thursday night flight from pittsburgh to san francisco on us air,Flight
4379,list daily flights from boston to oakland using continental airlines,Flight
4797,what are the flights from boston to san francisco,Flight
2913,what are the prices of these flights,Flight
3748,show me all flights from dallas to san francisco,Flight
37,list the wednesday flights from denver to baltimore arriving in baltimore between 1115 am and 1245 pm,Flight
2352,what flights leave seattle on sunday on continental after 9 pm,Flight
2431,i'd like to know the latest flight from atlanta to boston,Flight
1856,i want to fly nonstop from denver to dallas,Flight
250,what is the cost of limousine service at logan airport,NoFlight
4953,i'd like to fly early tomorrow from columbus to minneapolis,Flight
236,show me all the delta flights leaving pittsburgh between 12 and 4 in the afternoon,Flight
3023,show me all canadian airlines flights from toronto,Flight
5190,i need late flight wednesday from oakland to salt lake city,Flight
425,round trip fares from denver to philadelphia less than 1000 dollars,Flight
4795,i'm looking for a flight from pittsburgh to san francisco,Flight
4990,i would like to know the types of ground transportation from the airport to las vegas,NoFlight
3343,i would like flights from las vegas to san francisco,Flight
4234,i want to fly denver to pittsburgh,Flight
2264,show me all flights from pittsburgh to boston both direct and connecting that depart pittsburgh after 7 pm,Flight
1893,please show me all one way first class flights from indianapolis to memphis,Flight
870,what are the flights from dallas to boston for tomorrow night or evening,Flight
2381,list the earliest flight from st. paul to san jose,Flight
530,show me all the direct flights from atlanta to baltimore,Flight
2751,show me round trip flights from orlando to montreal,Flight
2173,show me the flights from boston to san francisco that stop in atlanta,Flight
4824,tell me the flights from baltimore to dallas,Flight
4776,i'd like a flight from montreal to san diego for sunday,Flight
3044,okay could you tell me what flight leaves dallas to san francisco by united airline,Flight
4705,what flights go from chicago to seattle on continental airlines on saturday,Flight
4388,how many first class flights does united have leaving from all cities today,NoFlight
2833,i'd like to fly from san diego to houston on june tenth,Flight
2849,show flights between philadelphia and denver on september sixteenth,Flight
2427,what is the latest flight from san francisco to boston,Flight
3299,please list the morning flights from philadelphia to toronto,Flight
2836,which flights go from cleveland to indianapolis on april fifth,Flight
4147,show me all flights from milwaukee to orlando,Flight
4432,list flights between boston and san francisco that serve breakfast,Flight
2311,i need to fly from denver to westchester county on june seventh after 3 pm,Flight
4504,what is the cheapest first class fare from cleveland to miami on us air on february twenty fourth,Flight
1017,please list the earliest lunch flight from columbus to phoenix,Flight
3573,list flights from indianapolis to memphis with fares on monday,Flight
4408,what ground transportation is available from dallas fort worth airport to downtown dallas,NoFlight
222,what cities does northwest fly to,NoFlight
890,get last flight from oakland to salt lake city on wednesday or first flight from oakland to salt lake city on thursday,Flight
2321,i need to take a united airlines flight on june eighth from westchester county to cincinnati after 3 pm,Flight
3465,what flights from las vegas to montreal on saturday,Flight
1633,please list the twa flights from las vegas to new york and fare,Flight
1534,please list all flights between indianapolis and orlando on the twenty seventh of december,Flight
1766,what airlines fly from burbank to denver,NoFlight
879,show me flights from milwaukee to orlando on wednesday night or thursday morning,Flight
1267,show me the flights to and from love field,Flight
2262,i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,Flight
4809,flight from denver to philadelphia,Flight
4701,i'd like united airlines flights from denver to baltimore,Flight
722,what time does flight aa 459 depart,Flight
5224,what's the cheapest flight from denver to pittsburgh,Flight
1767,can you tell me what airline flies between denver and san francisco,NoFlight
1031,last nonstop flight from los angeles to pittsburgh on monday night,Flight
3407,can you list all flights leaving from st. louis and arriving in milwaukee,Flight
4737,show flights saturday evening from st. louis to burbank,Flight
534,what are connecting flights from chicago to seattle on june first,Flight
2152,i'd like to make a round trip from la to newark by way of charlotte,Flight
2066,how much time does it take to go between the airport and downtown by ground transportation in dallas,NoFlight
99,what flights from kansas city to chicago arrive at chicago at 7 pm next wednesday,Flight
4512,what is hp,NoFlight
1037,show me the flights from boston to san francisco that arrive in the afternoon,Flight
4496,what is the latest flight on wednesday going from atlanta to washington dc,Flight
1808,which airlines go from san francisco to washington by way of indianapolis,NoFlight
1658,what round trip tickets are there from cleveland to miami on us air that arrive before 4 pm,Flight
2671,show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas,Flight
1712,what are the flights from atlanta to baltimore which arrive in baltimore at 7 o'clock pm,Flight
5433,what is the cheapest one way flight from Phoenix to San Diego that arrives in the morning on thursday june second .,Flight
5493,Orlando to Kansas city and then to Minneapolis .,Flight
201,what's the lowest round trip fare from atlanta to bwi,Flight
1850,what are the nonstop flights between houston and memphis,Flight
902,what is fare code f,NoFlight
2737,show me all flights from milwaukee to orlando one way,Flight
573,i need a ticket from los angeles to charlotte that leaves early in the morning,Flight
5258,and what are the flights from nashville to tacoma on the eighteenth again,Flight
5293,afternoon flights from boston to san francisco please that leave in the afternoon,Flight
1091,list fares from washington dc to boston,Flight
3964,what flights leave from phoenix to anywhere,Flight
2385,find me the latest flight leaving atlanta august seventh and arriving in denver,Flight
1512,show me the flights between milwaukee and indiana,Flight
3083,show delta airlines flights from boston to salt lake,Flight
1594,what is as,NoFlight
2086,list ground transportation options at phoenix,NoFlight
3185,what flights leave from boston to pittsburgh in the morning,Flight
379,please tell me which airline has the most departures from atlanta,NoFlight
